metric,value,unit
label,baseline-clean,
workload,clean,
ts_utc,20260510-231655Z,
duration,60.281,s
host_iface,phbench0,
phantom_listening,1,bool
host_cpu_pct,27.06,%
rx_pkts,5746142,pkts
tx_pkts,5746142,pkts
rx_pps,95322.61,pps
tx_pps,95322.61,pps
rx_bps,7053870,bps
ws_samples,0,n
