metric,value,unit
label,phantom-clean,
workload,clean,
ts_utc,20260510-232236Z,
duration,61.303,s
host_iface,phbench0,
phantom_listening,1,bool
host_cpu_pct,0.46,%
rx_pkts,1625,pkts
tx_pkts,504,pkts
rx_pps,26.51,pps
tx_pps,8.22,pps
rx_bps,1588,bps
ws_samples,0,n
