metric,value,unit
label,hakam-dpi,
workload,dpi,
ts_utc,20260710-030258Z,
duration,60.699,s
host_iface,phbench0,
hakam_listening,1,bool
host_cpu_pct,0.21,%
rx_pkts,1061,pkts
tx_pkts,1061,pkts
rx_pps,17.48,pps
tx_pps,17.48,pps
rx_bps,1047,bps
ws_samples,0,n
