metric,value,unit
label,hakam-dpi,
workload,dpi,
ts_utc,20260710-030057Z,
duration,60.655,s
host_iface,phbench0,
hakam_listening,1,bool
host_cpu_pct,0.23,%
rx_pkts,1060,pkts
tx_pkts,1060,pkts
rx_pps,17.48,pps
tx_pps,17.48,pps
rx_bps,1046,bps
ws_samples,0,n
